"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 04, 2023","158.700","156.489","159.543","155.885","87.50K","1.42%"
"Apr 03, 2023","156.478","160.198","161.806","155.441","102.78K","-2.31%"
"Apr 02, 2023","160.179","157.028","160.765","156.321","74.24K","2.01%"
"Apr 01, 2023","157.028","157.583","157.826","153.953","53.35K","-0.35%"
"Mar 31, 2023","157.583","155.308","158.425","154.697","77.12K","1.46%"
"Mar 30, 2023","155.308","158.887","163.258","154.525","114.95K","-2.25%"
"Mar 29, 2023","158.887","154.011","159.971","153.638","96.08K","3.17%"
"Mar 28, 2023","154.011","151.718","156.085","149.757","108.79K","1.51%"
"Mar 27, 2023","151.718","161.433","164.928","151.555","150.14K","-6.02%"
"Mar 26, 2023","161.433","159.763","165.687","158.738","86.07K","1.05%"
"Mar 25, 2023","159.763","161.976","164.684","159.763","113.18K","-1.36%"
"Mar 24, 2023","161.971","156.494","163.038","155.041","160.86K","3.50%"
"Mar 23, 2023","156.491","148.595","156.680","148.397","180.97K","5.31%"
"Mar 22, 2023","148.595","153.162","154.761","145.709","192.30K","-2.98%"
"Mar 21, 2023","153.162","151.757","157.027","149.332","148.75K","0.93%"
"Mar 20, 2023","151.757","153.299","155.646","149.642","109.52K","-1.01%"
"Mar 19, 2023","153.299","149.273","158.500","148.615","117.56K","2.70%"
"Mar 18, 2023","149.273","153.779","154.291","146.609","100.74K","-2.93%"
"Mar 17, 2023","153.779","148.884","154.152","148.807","96.61K","3.29%"
"Mar 16, 2023","148.884","146.173","149.549","144.271","87.02K","1.84%"
"Mar 15, 2023","146.189","149.724","151.743","142.414","115.04K","-2.36%"
"Mar 14, 2023","149.724","152.318","157.305","146.998","144.25K","-1.70%"
"Mar 13, 2023","152.318","149.821","155.044","145.593","118.10K","1.67%"
"Mar 12, 2023","149.809","139.983","150.182","139.162","112.24K","7.02%"
"Mar 11, 2023","139.983","135.197","141.960","132.417","121.44K","3.54%"
"Mar 10, 2023","135.197","142.610","142.694","132.060","120.88K","-5.20%"
"Mar 09, 2023","142.610","143.316","152.357","140.630","104.79K","-0.49%"
"Mar 08, 2023","143.316","150.286","151.505","143.316","91.33K","-4.64%"
"Mar 07, 2023","150.286","153.986","155.399","148.318","88.43K","-2.40%"
"Mar 06, 2023","153.986","149.583","154.134","148.394","75.14K","2.94%"
"Mar 05, 2023","149.583","146.683","150.160","146.302","46.83K","1.98%"
"Mar 04, 2023","146.683","144.988","147.764","144.201","47.26K","1.17%"
"Mar 03, 2023","144.988","150.995","151.284","140.867","77.80K","-3.98%"
"Mar 02, 2023","150.995","152.782","153.287","148.688","83.02K","-1.17%"
"Mar 01, 2023","152.782","150.289","153.641","150.185","86.69K","1.66%"
"Feb 28, 2023","150.289","149.788","152.287","148.905","74.30K","0.33%"
"Feb 27, 2023","149.790","151.304","152.355","146.393","62.93K","-1.00%"
"Feb 26, 2023","151.308","149.001","152.173","148.281","64.47K","1.55%"
"Feb 25, 2023","149.001","150.385","151.571","145.476","63.68K","-0.92%"
"Feb 24, 2023","150.385","151.938","154.487","148.734","62.89K","-1.02%"
"Feb 23, 2023","151.938","157.703","159.549","150.061","99.03K","-3.66%"
"Feb 22, 2023","157.703","159.545","159.748","155.772","71.91K","-1.15%"
"Feb 21, 2023","159.545","161.701","163.286","156.813","95.18K","-1.33%"
"Feb 20, 2023","161.701","162.201","168.969","160.778","134.53K","-0.31%"
"Feb 19, 2023","162.201","161.597","166.363","159.379","97.63K","0.27%"
"Feb 18, 2023","161.758","159.623","163.740","158.765","68.56K","1.34%"
"Feb 17, 2023","159.626","155.775","162.163","155.062","106.98K","2.47%"
"Feb 16, 2023","155.775","165.611","166.871","155.408","114.48K","-5.94%"
"Feb 15, 2023","165.611","158.430","165.625","156.728","111.61K","4.53%"
"Feb 14, 2023","158.430","155.897","159.192","153.987","141.74K","1.62%"
"Feb 13, 2023","155.897","159.490","161.870","153.455","132.78K","-2.25%"
"Feb 12, 2023","159.490","161.489","163.069","158.030","84.89K","-1.24%"
"Feb 11, 2023","161.489","154.667","161.656","153.778","96.50K","4.41%"
"Feb 10, 2023","154.667","152.571","158.664","151.354","105.81K","1.37%"
"Feb 09, 2023","152.571","165.578","168.122","149.900","123.91K","-7.86%"
"Feb 08, 2023","165.578","168.155","168.970","162.862","106.58K","-1.53%"
"Feb 07, 2023","168.155","164.633","168.236","163.742","82.28K","2.14%"
"Feb 06, 2023","164.633","166.595","168.450","163.459","74.52K","-1.18%"
"Feb 05, 2023","166.595","172.158","173.611","165.184","94.21K","-3.23%"
"Feb 04, 2023","172.158","171.793","174.947","170.823","51.58K","0.21%"
"Feb 03, 2023","171.793","172.890","175.301","170.313","107.91K","-0.63%"
"Feb 02, 2023","172.890","177.696","180.797","172.272","102.51K","-2.66%"
"Feb 01, 2023","177.623","177.479","178.548","172.574","86.87K","0.08%"
"Jan 31, 2023","177.479","175.980","180.360","171.821","100.73K","0.85%"
"Jan 30, 2023","175.980","186.252","186.812","174.559","90.31K","-5.51%"
"Jan 29, 2023","186.252","184.814","186.723","182.178","71.77K","0.78%"
"Jan 28, 2023","184.814","179.913","186.253","178.162","109.24K","2.71%"
"Jan 27, 2023","179.933","171.793","180.606","167.542","123.77K","4.74%"
"Jan 26, 2023","171.793","173.357","178.256","170.863","100.59K","-0.90%"
"Jan 25, 2023","173.357","172.105","175.852","166.153","88.07K","0.73%"
"Jan 24, 2023","172.105","178.971","180.142","168.526","99.64K","-3.84%"
"Jan 23, 2023","178.985","177.120","180.196","175.132","80.89K","1.05%"
"Jan 22, 2023","177.120","172.726","181.052","172.434","65.53K","2.54%"
"Jan 21, 2023","172.738","173.329","181.913","171.458","128.80K","-0.34%"
"Jan 20, 2023","173.329","165.655","173.451","164.985","91.97K","4.63%"
"Jan 19, 2023","165.655","162.883","166.202","156.846","156.47K","1.70%"
"Jan 18, 2023","162.883","171.750","174.968","161.272","106.33K","-5.17%"
"Jan 17, 2023","171.759","168.191","174.673","165.609","93.12K","2.12%"
"Jan 16, 2023","168.191","174.452","176.800","165.969","107.79K","-3.59%"
"Jan 15, 2023","174.452","175.429","177.274","171.663","125.85K","-0.56%"
"Jan 14, 2023","175.429","170.638","187.550","170.266","173.70K","2.81%"
"Jan 13, 2023","170.635","166.866","170.731","164.142","101.12K","2.25%"
"Jan 12, 2023","166.886","168.701","171.307","164.320","185.02K","-1.12%"
"Jan 11, 2023","168.785","161.324","170.900","160.314","165.93K","4.62%"
"Jan 10, 2023","161.324","158.707","162.907","157.693","153.27K","1.60%"
"Jan 09, 2023","158.791","155.364","160.579","155.181","165.26K","2.21%"
"Jan 08, 2023","155.364","155.826","158.831","154.276","154.52K","-0.30%"
"Jan 07, 2023","155.826","154.756","155.971","153.607","74.85K","0.69%"
"Jan 06, 2023","154.756","156.061","158.945","152.777","106.05K","-0.84%"
"Jan 05, 2023","156.061","150.995","156.061","150.815","110.42K","3.36%"
"Jan 04, 2023","150.995","148.598","152.817","148.495","100.88K","1.61%"
"Jan 03, 2023","148.598","148.097","149.476","147.653","73.64K","0.34%"
"Jan 02, 2023","148.097","148.710","150.174","148.060","58.81K","-0.41%"
"Jan 01, 2023","148.708","147.457","149.222","146.521","48.69K","0.85%"
"Dec 31, 2022","147.457","146.116","148.597","145.463","61.90K","0.92%"
"Dec 30, 2022","146.116","145.643","146.905","144.230","77.03K","0.32%"
"Dec 29, 2022","145.643","147.103","147.488","144.972","78.83K","-0.99%"
"Dec 28, 2022","147.103","145.682","148.039","143.830","85.74K","1.04%"
"Dec 27, 2022","145.593","146.937","149.485","144.105","102.32K","-0.91%"
"Dec 26, 2022","146.937","145.272","147.737","144.665","83.64K","1.15%"
"Dec 25, 2022","145.271","143.371","145.670","143.163","56.09K","1.33%"
"Dec 24, 2022","143.371","143.055","144.130","141.802","59.57K","0.22%"
"Dec 23, 2022","143.055","145.466","146.674","139.768","102.37K","-1.70%"
"Dec 22, 2022","145.535","147.306","147.886","143.723","87.13K","-1.20%"
"Dec 21, 2022","147.306","146.924","153.715","146.499","75.43K","0.30%"
"Dec 20, 2022","146.862","143.877","147.480","143.783","77.55K","2.07%"
"Dec 19, 2022","143.882","144.165","145.761","143.118","55.28K","-0.20%"
"Dec 18, 2022","144.165","143.431","145.805","142.776","103.35K","0.51%"
"Dec 17, 2022","143.431","142.002","144.107","138.552","85.51K","0.96%"
"Dec 16, 2022","142.063","148.997","149.292","140.551","126.24K","-4.69%"
"Dec 15, 2022","149.057","148.760","149.703","146.600","120.13K","0.30%"
"Dec 14, 2022","148.614","151.425","152.285","146.727","177.05K","-1.86%"
"Dec 13, 2022","151.425","150.488","152.894","148.379","134.95K","0.65%"
"Dec 12, 2022","150.441","150.544","151.918","148.102","179.11K","-0.07%"
"Dec 11, 2022","150.544","149.537","151.840","149.148","90.13K","0.67%"
"Dec 10, 2022","149.537","149.112","150.631","148.318","70.38K","0.29%"
"Dec 09, 2022","149.112","147.568","149.309","146.304","112.35K","1.09%"
"Dec 08, 2022","147.502","143.895","148.543","143.005","115.11K","2.51%"
"Dec 07, 2022","143.895","143.496","144.296","141.182","93.52K","0.27%"
"Dec 06, 2022","143.514","145.121","146.006","142.132","110.54K","-1.15%"
"Dec 05, 2022","145.190","142.274","145.958","141.490","127.62K","2.05%"
"Dec 04, 2022","142.274","145.298","147.425","142.274","125.72K","-2.08%"
"Dec 03, 2022","145.298","145.525","148.214","143.685","119.59K","-0.16%"
"Dec 02, 2022","145.525","144.407","146.436","143.021","96.97K","0.72%"
"Dec 01, 2022","144.482","142.181","144.826","141.362","139.89K","1.62%"
"Nov 30, 2022","142.181","137.309","142.495","137.309","124.83K","3.54%"
"Nov 29, 2022","137.326","134.891","139.901","134.256","141.90K","1.80%"
"Nov 28, 2022","134.891","136.534","137.141","132.923","85.31K","-1.20%"
"Nov 27, 2022","136.534","138.823","139.570","136.331","74.42K","-1.65%"
"Nov 26, 2022","138.823","136.331","139.362","135.698","91.15K","1.83%"
"Nov 25, 2022","136.331","136.919","138.124","133.942","113.22K","-0.43%"
"Nov 24, 2022","136.919","135.166","137.442","133.419","137.06K","1.30%"
"Nov 23, 2022","135.166","134.118","137.059","133.209","175.73K","0.78%"
"Nov 22, 2022","134.118","126.358","134.350","125.488","126.19K","6.14%"
"Nov 21, 2022","126.358","129.823","135.545","126.229","217.72K","-2.66%"
"Nov 20, 2022","129.809","134.405","134.470","128.850","82.60K","-3.42%"
"Nov 19, 2022","134.405","133.398","134.554","131.979","75.32K","1.16%"
"Nov 18, 2022","132.863","132.381","134.357","130.997","95.04K","0.08%"
"Nov 17, 2022","132.760","131.833","133.157","130.424","98.50K","0.70%"
"Nov 16, 2022","131.833","129.036","132.378","126.863","93.07K","2.17%"
"Nov 15, 2022","129.036","129.838","132.567","127.708","99.21K","-0.59%"
"Nov 14, 2022","129.803","127.212","130.757","122.024","126.10K","1.98%"
"Nov 13, 2022","127.283","128.452","131.328","126.360","94.02K","-0.91%"
"Nov 12, 2022","128.452","128.388","129.879","124.989","76.93K","0.05%"
"Nov 11, 2022","128.388","133.296","134.650","122.803","155.43K","-3.68%"
"Nov 10, 2022","133.296","119.332","134.827","117.810","180.34K","11.66%"
"Nov 09, 2022","119.380","138.477","140.143","115.696","184.98K","-13.79%"
"Nov 08, 2022","138.477","155.192","157.083","128.610","186.83K","-10.77%"
"Nov 07, 2022","155.192","154.874","159.359","153.290","112.27K","0.21%"
"Nov 06, 2022","154.874","157.307","160.491","154.393","83.92K","-1.55%"
"Nov 05, 2022","157.307","158.491","161.909","156.687","120.22K","-0.75%"
"Nov 04, 2022","158.491","149.355","158.512","148.888","103.60K","6.12%"
"Nov 03, 2022","149.355","146.880","150.333","146.689","82.68K","1.69%"
"Nov 02, 2022","146.880","149.711","151.293","144.982","128.01K","-1.89%"
"Nov 01, 2022","149.711","149.514","151.094","148.416","101.08K","0.13%"
"Oct 31, 2022","149.514","147.503","150.731","146.180","117.15K","1.34%"
"Oct 30, 2022","147.534","148.978","150.564","146.197","76.64K","-0.99%"
"Oct 29, 2022","149.002","146.766","149.293","145.875","87.81K","1.52%"
"Oct 28, 2022","146.766","145.784","148.244","143.928","120.90K","0.67%"
"Oct 27, 2022","145.784","146.866","149.800","145.083","128.81K","-0.74%"
"Oct 26, 2022","146.866","143.904","147.982","143.809","110.45K","2.06%"
"Oct 25, 2022","143.904","143.224","146.480","142.892","109.61K","0.47%"
"Oct 24, 2022","143.224","144.442","144.821","141.475","98.06K","-0.84%"
"Oct 23, 2022","144.442","142.799","144.878","142.127","81.30K","1.15%"
"Oct 22, 2022","142.799","140.734","143.018","139.617","67.96K","1.47%"
"Oct 21, 2022","140.727","141.126","143.325","137.086","104.11K","-0.28%"
"Oct 20, 2022","141.126","144.973","148.596","140.119","119.35K","-2.65%"
"Oct 19, 2022","144.972","146.109","148.648","144.667","115.17K","-0.78%"
"Oct 18, 2022","146.109","143.683","148.068","142.599","177.03K","1.69%"
"Oct 17, 2022","143.683","143.165","145.063","142.596","96.33K","0.36%"
"Oct 16, 2022","143.165","139.560","143.532","139.560","60.18K","2.58%"
"Oct 15, 2022","139.560","140.599","141.912","139.214","89.81K","-0.74%"
"Oct 14, 2022","140.599","142.842","145.884","139.887","93.29K","-1.57%"
"Oct 13, 2022","142.842","144.777","145.307","134.848","160.30K","-1.34%"
"Oct 12, 2022","144.777","144.786","146.755","142.680","96.48K","0.01%"
"Oct 11, 2022","144.768","142.196","145.188","140.164","104.77K","1.81%"
"Oct 10, 2022","142.196","145.704","147.793","142.016","95.86K","-2.41%"
"Oct 09, 2022","145.702","147.607","149.004","145.185","66.89K","-1.22%"
"Oct 08, 2022","147.499","146.530","148.311","145.200","65.42K","0.66%"
"Oct 07, 2022","146.533","149.093","149.400","143.749","111.09K","-1.72%"
"Oct 06, 2022","149.093","146.233","152.659","143.506","172.13K","1.96%"
"Oct 05, 2022","146.233","146.713","148.228","143.790","90.59K","-0.33%"
"Oct 04, 2022","146.713","141.708","147.843","141.708","106.72K","3.53%"
"Oct 03, 2022","141.708","136.876","141.788","136.438","112.71K","3.53%"
"Oct 02, 2022","136.876","140.892","141.966","136.373","106.02K","-2.85%"
"Oct 01, 2022","140.892","147.371","150.274","140.661","76.29K","-4.39%"
"Sep 30, 2022","147.361","148.468","150.652","146.362","84.01K","-0.75%"
"Sep 29, 2022","148.468","147.190","149.354","146.247","111.83K","0.87%"
"Sep 28, 2022","147.190","144.346","147.998","140.219","117.44K","1.88%"
"Sep 27, 2022","144.473","145.689","153.021","143.056","132.41K","-0.83%"
"Sep 26, 2022","145.689","140.991","146.109","139.620","87.82K","3.33%"
"Sep 25, 2022","140.991","141.680","144.642","140.090","65.64K","-0.49%"
"Sep 24, 2022","141.680","141.531","143.984","140.552","80.56K","0.11%"
"Sep 23, 2022","141.531","144.135","146.200","137.662","106.31K","-1.81%"
"Sep 22, 2022","144.135","135.082","144.201","134.066","120.83K","6.61%"
"Sep 21, 2022","135.200","142.384","145.314","134.460","129.74K","-5.05%"
"Sep 20, 2022","142.384","140.580","143.297","139.581","130.10K","1.28%"
"Sep 19, 2022","140.580","140.706","141.787","135.304","144.83K","-0.09%"
"Sep 18, 2022","140.706","147.544","149.078","137.937","140.80K","-4.63%"
"Sep 17, 2022","147.544","149.098","151.904","147.446","105.36K","-1.04%"
"Sep 16, 2022","149.093","145.709","149.484","144.104","123.25K","2.32%"
"Sep 15, 2022","145.709","149.926","151.752","143.926","157.15K","-2.81%"
"Sep 14, 2022","149.926","145.445","151.650","144.985","160.30K","3.08%"
"Sep 13, 2022","145.445","164.105","165.476","145.445","200.82K","-11.37%"
"Sep 12, 2022","164.101","159.065","166.368","158.154","155.58K","3.24%"
"Sep 11, 2022","158.952","157.721","159.356","154.644","83.32K","0.78%"
"Sep 10, 2022","157.721","161.427","161.899","157.294","93.83K","-2.30%"
"Sep 09, 2022","161.427","152.093","161.427","151.707","129.02K","6.14%"
"Sep 08, 2022","152.093","149.336","152.510","147.744","105.92K","1.85%"
"Sep 07, 2022","149.336","144.969","152.272","141.783","141.76K","3.01%"
"Sep 06, 2022","144.969","157.570","159.898","144.698","153.30K","-7.95%"
"Sep 05, 2022","157.494","155.649","157.940","154.776","109.42K","1.19%"
"Sep 04, 2022","155.649","154.370","156.368","153.624","85.53K","0.83%"
"Sep 03, 2022","154.370","153.476","154.806","151.498","79.90K","0.58%"
"Sep 02, 2022","153.476","154.590","154.777","150.432","146.75K","-0.72%"
"Sep 01, 2022","154.590","149.269","154.791","148.457","153.78K","3.56%"
"Aug 31, 2022","149.269","148.764","152.541","148.417","117.21K","0.34%"
"Aug 30, 2022","148.764","152.676","152.905","147.264","128.72K","-2.56%"
"Aug 29, 2022","152.676","146.276","152.966","144.924","132.00K","4.38%"
"Aug 28, 2022","146.276","145.131","149.226","144.079","102.60K","0.79%"
"Aug 27, 2022","145.131","142.761","146.076","141.759","113.09K","1.66%"
"Aug 26, 2022","142.761","154.126","155.402","141.587","139.47K","-7.37%"
"Aug 25, 2022","154.126","150.758","155.366","150.421","85.59K","2.23%"
"Aug 24, 2022","150.764","154.621","155.066","150.426","92.41K","-2.49%"
"Aug 23, 2022","154.621","154.021","155.882","150.446","103.25K","0.32%"
"Aug 22, 2022","154.121","154.502","155.180","150.748","117.53K","-0.25%"
"Aug 21, 2022","154.502","149.103","157.620","149.097","119.17K","3.62%"
"Aug 20, 2022","149.103","142.515","149.996","142.227","125.10K","4.62%"
"Aug 19, 2022","142.515","161.111","161.208","142.043","238.38K","-11.54%"
"Aug 18, 2022","161.111","168.845","170.910","159.155","204.43K","-4.58%"
"Aug 17, 2022","168.845","169.542","170.905","158.875","228.00K","-0.41%"
"Aug 16, 2022","169.542","163.258","174.316","161.994","163.28K","3.85%"
"Aug 15, 2022","163.258","164.624","168.923","161.605","123.64K","-0.83%"
"Aug 14, 2022","164.624","165.521","169.836","162.775","73.17K","-0.54%"
"Aug 13, 2022","165.515","165.775","168.032","164.896","100.79K","-0.16%"
"Aug 12, 2022","165.775","158.732","166.520","156.403","161.24K","4.44%"
"Aug 11, 2022","158.732","167.683","168.831","156.495","219.40K","-5.34%"
"Aug 10, 2022","167.683","157.809","169.669","154.580","184.54K","6.26%"
"Aug 09, 2022","157.805","167.115","171.612","155.498","139.49K","-5.67%"
"Aug 08, 2022","167.287","164.766","169.931","162.393","151.65K","1.53%"
"Aug 07, 2022","164.766","160.762","171.027","158.417","174.48K","2.48%"
"Aug 06, 2022","160.773","161.587","164.973","160.248","82.90K","-0.50%"
"Aug 05, 2022","161.587","159.365","162.389","156.688","96.99K","1.39%"
"Aug 04, 2022","159.365","156.711","162.927","156.251","101.69K","1.69%"
"Aug 03, 2022","156.711","156.756","164.162","155.134","123.68K","-0.04%"
"Aug 02, 2022","156.769","160.776","161.691","153.893","137.28K","-2.49%"
"Aug 01, 2022","160.776","154.785","161.453","152.214","98.75K","3.87%"
"Jul 31, 2022","154.785","155.897","159.749","153.864","82.29K","-0.71%"
"Jul 30, 2022","155.897","159.857","163.677","154.793","103.42K","-2.50%"
"Jul 29, 2022","159.898","162.403","166.244","159.026","133.37K","-1.54%"
"Jul 28, 2022","162.403","161.610","166.442","157.014","161.54K","0.49%"
"Jul 27, 2022","161.610","151.060","162.855","150.220","193.32K","6.98%"
"Jul 26, 2022","151.059","143.726","151.235","138.011","174.72K","5.10%"
"Jul 25, 2022","143.726","151.374","152.161","143.267","111.03K","-5.07%"
"Jul 24, 2022","151.406","146.356","153.745","146.353","88.42K","3.45%"
"Jul 23, 2022","146.356","149.042","151.298","142.533","106.26K","-1.78%"
"Jul 22, 2022","149.016","151.149","153.422","148.363","163.76K","-1.41%"
"Jul 21, 2022","151.150","151.507","152.824","146.623","240.14K","-0.24%"
"Jul 20, 2022","151.509","146.382","153.330","143.261","212.50K","3.50%"
"Jul 19, 2022","146.382","147.275","148.927","140.016","215.47K","-0.61%"
"Jul 18, 2022","147.275","136.037","148.817","136.020","167.07K","8.26%"
"Jul 17, 2022","136.037","138.947","142.239","134.716","114.47K","-2.09%"
"Jul 16, 2022","138.947","138.864","144.652","135.730","171.01K","0.06%"
"Jul 15, 2022","138.864","134.026","141.420","132.698","180.20K","3.56%"
"Jul 14, 2022","134.087","124.357","134.972","123.436","123.22K","7.82%"
"Jul 13, 2022","124.357","123.225","125.858","117.850","115.33K","0.92%"
"Jul 12, 2022","123.225","126.982","129.356","123.161","150.72K","-2.96%"
"Jul 11, 2022","126.982","129.255","132.788","125.849","292.31K","-1.76%"
"Jul 10, 2022","129.255","127.188","129.255","120.882","126.59K","1.63%"
"Jul 09, 2022","127.188","125.431","129.028","125.160","82.29K","1.39%"
"Jul 08, 2022","125.439","130.632","133.697","125.439","118.91K","-3.98%"
"Jul 07, 2022","130.632","125.601","131.523","125.368","121.65K","4.01%"
"Jul 06, 2022","125.601","122.516","126.844","121.076","105.85K","2.58%"
"Jul 05, 2022","122.442","123.996","125.287","118.690","124.94K","-1.19%"
"Jul 04, 2022","123.923","116.532","124.295","115.035","112.72K","6.34%"
"Jul 03, 2022","116.532","116.056","117.616","114.172","87.39K","0.41%"
"Jul 02, 2022","116.056","115.251","119.020","113.401","130.45K","0.70%"
"Jul 01, 2022","115.251","113.098","116.997","111.047","116.67K","1.71%"
"Jun 30, 2022","113.310","118.940","119.710","108.200","120.96K","-4.62%"
"Jun 29, 2022","118.793","117.580","124.801","116.959","144.68K","1.03%"
"Jun 28, 2022","117.580","120.233","123.186","116.124","110.36K","-2.21%"
"Jun 27, 2022","120.233","125.303","130.633","119.961","123.77K","-4.05%"
"Jun 26, 2022","125.303","127.324","134.096","125.060","108.38K","-1.59%"
"Jun 25, 2022","127.324","126.519","128.100","121.076","78.45K","0.64%"
"Jun 24, 2022","126.519","122.690","128.790","122.606","105.51K","3.12%"
"Jun 23, 2022","122.690","111.109","122.925","110.981","80.49K","10.42%"
"Jun 22, 2022","111.109","118.710","118.896","111.097","103.72K","-6.40%"
"Jun 21, 2022","118.710","117.279","125.086","115.844","149.86K","1.22%"
"Jun 20, 2022","117.280","114.409","117.948","108.525","144.73K","2.44%"
"Jun 19, 2022","114.484","104.376","115.282","99.998","171.66K","9.68%"
"Jun 18, 2022","104.376","114.486","115.686","96.924","233.23K","-8.70%"
"Jun 17, 2022","114.322","106.623","116.400","106.031","182.51K","7.22%"
"Jun 16, 2022","106.623","118.428","120.984","104.354","204.92K","-9.96%"
"Jun 15, 2022","118.421","118.582","119.400","104.082","412.05K","-0.14%"
"Jun 14, 2022","118.582","132.753","134.252","116.283","393.73K","-10.38%"
"Jun 13, 2022","132.320","158.090","159.859","128.393","299.08K","-16.30%"
"Jun 12, 2022","158.090","166.559","167.269","152.580","144.69K","-5.08%"
"Jun 11, 2022","166.559","174.258","178.498","161.335","112.62K","-4.42%"
"Jun 10, 2022","174.258","185.879","186.616","172.266","112.40K","-6.25%"
"Jun 09, 2022","185.879","186.531","189.892","182.344","70.84K","-0.35%"
"Jun 08, 2022","186.531","187.650","189.613","182.313","73.65K","-0.60%"
"Jun 07, 2022","187.650","189.325","195.377","180.052","118.17K","-0.89%"
"Jun 06, 2022","189.331","187.988","195.553","187.787","109.52K","0.71%"
"Jun 05, 2022","187.987","189.237","192.023","186.174","92.76K","-0.66%"
"Jun 04, 2022","189.237","193.804","195.723","188.787","100.68K","-2.42%"
"Jun 03, 2022","193.939","201.549","202.824","187.493","138.13K","-3.78%"
"Jun 02, 2022","201.549","198.626","203.935","192.603","134.97K","1.47%"
"Jun 01, 2022","198.626","198.518","203.620","193.252","176.00K","0.03%"
"May 31, 2022","198.565","204.337","208.551","191.968","259.55K","-2.83%"
"May 30, 2022","204.337","186.069","209.122","183.194","194.48K","9.82%"
"May 29, 2022","186.069","176.092","188.229","167.944","130.37K","5.67%"
"May 28, 2022","176.092","180.760","184.390","174.604","103.35K","-2.58%"
"May 27, 2022","180.760","189.225","190.781","176.200","188.30K","-4.36%"
"May 26, 2022","189.000","204.181","206.310","185.241","240.74K","-7.58%"
"May 25, 2022","204.500","193.311","205.412","191.613","245.47K","5.79%"
"May 24, 2022","193.311","185.101","196.616","183.711","207.83K","4.44%"
"May 23, 2022","185.101","187.158","199.864","181.637","314.24K","-1.10%"
"May 22, 2022","187.158","176.026","188.544","172.705","120.86K","6.32%"
"May 21, 2022","176.026","174.051","180.781","170.530","151.19K","1.17%"
"May 20, 2022","173.988","165.824","181.606","163.350","275.23K","4.92%"
"May 19, 2022","165.824","155.317","169.819","151.262","164.49K","6.77%"
"May 18, 2022","155.313","172.756","176.008","154.671","156.57K","-10.12%"
"May 17, 2022","172.803","162.363","177.749","162.119","151.98K","6.43%"
"May 16, 2022","162.363","172.007","174.611","160.185","181.24K","-5.61%"
"May 15, 2022","172.007","153.353","172.814","151.093","188.72K","12.18%"
"May 14, 2022","153.325","143.973","154.954","135.919","164.20K","6.50%"
"May 13, 2022","143.973","137.742","155.168","135.456","209.68K","4.41%"
"May 12, 2022","137.896","140.684","156.015","119.199","410.48K","-1.90%"
"May 11, 2022","140.573","162.779","172.635","138.181","415.38K","-13.64%"
